city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Mandeville,LA,disk,30.39100748299316,-90.03365442176879,2700.0,2009,12,Night
Tomball,TX,circle,30.0839000000001,-95.63833333333308,120.0,2009,12,Night
Lake Worth,FL,circle,26.60020571428564,-80.12513920634922,,2009,12,Night
Livingston,LA,unknown,30.402699999999992,-90.731,,2009,12,Night
Austin,TX,disk,30.308469443732346,-97.76011171494544,300.0,2009,12,Night
Fort Smith,AR,light,35.353695348837206,-94.38678217054265,3.0,2008,12,Night
Merritt Island,FL,circle,28.370396710526368,-80.66729868421065,,2008,12,Night
Fort Myers,FL,light,26.58139708890648,-81.84065302911138,300.0,2008,12,Night
Missouri City,TX,oval,29.549612269938635,-95.5218797546015,3600.0,2008,12,Night
Jackson,MS,other,32.32677480314962,-90.19263976377944,1800.0,2008,12,Night
Louisville,KY,unknown,38.211214467651466,-85.68918456444241,,2008,12,Night
Durham,NC,diamond,35.98046262866154,-78.89813626286602,,2008,12,Night
San Antonio,TX,oval,29.48886591714061,-98.47524044355946,2.0,2008,12,Night
Durham,NC,diamond,35.98046262866154,-78.89813626286602,1.0,2008,12,Night
Avon Park,FL,triangle,27.638699999999982,-81.40479999999997,,2008,12,Night
Norcross,GA,rectangle,33.940777733598445,-84.20881809145123,150.0,2008,12,Day
Dallas,TX,chevron,32.835168077433146,-96.80811785917246,120.0,2008,12,Night
Ashville,AL,unknown,33.785599999999995,-86.22080000000003,,2008,12,Night
Austin,TX,light,30.308469443732346,-97.76011171494544,2.0,2008,12,Night
Lakeway,TX,rectangle,,,,2008,12,Day
Miami,FL,cylinder,25.77414271350745,-80.28951850011364,1200.0,2008,12,Night
Maumelle,AR,fireball,34.86750000000002,-92.40009999999992,,2008,12,Night
Hendersonville,NC,light,35.35226428571421,-82.43025357142861,1800.0,2008,12,Night
Dallas,TX,light,32.835168077433146,-96.80811785917246,8.0,2008,12,Night
Front Royal,VA,teardrop,38.92259999999999,-78.13370000000009,7.5,2008,12,Night
Ocala,FL,changing,29.15317001620753,-82.11931701782794,,2008,12,Day
Margate,FL,oval,,,,2008,12,Night
Stephens City,VA,teardrop,39.0457,-78.2276000000001,7.5,2008,12,Night
Virginia Beach,VA,fireball,36.83730134271098,-76.06194814577877,,2008,12,Night
