city,state,shape,city_latitude,city_longitude,duration_sec,year,month,day
Burlington,VT,fireball,44.47554791666679,-73.21075000000022,150.0,2011,12,Night
Shelton,CT,fireball,41.31580000000008,-73.13539999999985,3.5,2011,12,Night
Wallingford,CT,circle,41.45700000000018,-72.82320000000027,5.0,2011,12,Night
Nashua,NH,changing,42.74402106339464,-71.48120613496933,120.0,2011,12,Day
Unknown,PA,cylinder,,,120.0,2011,12,Day
Baltimore,MD,cigar,39.31307269413025,-76.61182201968622,120.0,2011,12,Night
Ephrata,PA,sphere,40.17569999999988,-76.16580000000002,300.0,2011,12,Night
Stafford Springs,CT,light,,,,2011,12,Night
Stafford Springs,CT,triangle,,,60.0,2011,12,Night
Lehighton,PA,light,40.79989999999999,-75.73390000000009,5.0,2011,12,Day
Syracuse,NY,sphere,43.05037092436972,-76.15706369747863,,2011,12,Night
Medford,NY,circle,40.83140000000002,-72.9758000000001,180.0,2011,12,Night
Olney,MD,light,39.15349999999994,-77.07530000000013,3.0,2011,12,Night
Bridgewater,MA,unknown,41.971448571428525,-70.97669714285728,300.0,2011,12,Night
Clarks Green,PA,unknown,,,,2011,12,Night
Catonsville,MD,sphere,39.26940000000008,-76.74469999999985,90.0,2011,12,Night
Hatboro,PA,other,40.18240000000005,-75.10620000000011,15.0,2011,12,Night
Brickerville,PA,formation,,,30.0,2011,12,Night
Warminster,PA,other,40.20679999999994,-75.09959999999971,60.0,2011,12,Night
Levittown,PA,circle,40.15235409090907,-74.85012409090906,1500.0,2011,12,Night
Gaithersburg,MD,circle,39.14072038404706,-77.20584416543608,600.0,2011,12,Night
New York,NY,fireball,40.74430706561583,-73.98772448166753,750.0,2011,12,Night
Upper Darby,PA,unknown,39.95940000000001,-75.27280000000002,27.0,2011,12,Day
Holbrook,NY,light,40.81230000000004,-73.07840000000012,600.0,2011,12,Night
Hanover,MA,circle,42.120941176470566,-70.8446941176471,5400.0,2011,12,Night
New London,NH,light,43.43800000000005,-72.00599999999996,180.0,2011,12,Night
Wantagh,NY,fireball,40.66949999999998,-73.5110000000001,60.0,2011,12,Night
Albany,NY,oval,42.66599931506877,-73.77961926369782,3.0,2011,12,Night
Maugansville,MD,formation,39.7065,-77.7448,60.0,2011,12,Night
Queensbury,NY,circle,43.35229999999987,-73.68980000000009,180.0,2011,12,Night
Buffalo,NY,formation,42.90222609317205,-78.85083919083908,10.0,2011,12,Night
Media,PA,flash,39.91943314917112,-75.41740110497227,37.5,2011,12,Night
Portsmouth,NH,light,43.0679362711862,-70.79859864406822,300.0,2011,12,Night
Douglas,MA,light,42.0544,-71.75480000000002,3.0,2011,12,Night
Augusta,NJ,formation,41.1441,-74.6939,1200.0,2011,12,Night
Shrewsbury,NJ,circle,40.325399999999966,-74.05789999999996,12.5,2011,12,Night
Alton Bay,NH,sphere,43.4993,-71.2751,,2011,12,Night
Scarborough,ME,light,43.59211794871788,-70.37283589743586,60.0,2011,12,Night
Norwich,VT,teardrop,43.75109999999998,-72.31420000000001,,2011,12,Night
Kennebunk,ME,light,43.39719999999994,-70.57220000000004,180.0,2011,12,Night
New York,NY,other,40.74430706561583,-73.98772448166753,,2011,12,Night
Mifflintown,PA,fireball,40.5965,-77.3573,,2011,12,Night
Bel Air,MD,chevron,39.5424170731708,-76.32874878048777,60.0,2011,12,Night
East Dorset,VT,light,43.268,-72.9916,210.0,2011,12,Night
Temple Hills,MD,unknown,38.81786517857143,-76.94252678571434,,2011,12,Night
Manchester,CT,other,41.7765382716049,-72.52271851851876,120.0,2011,12,Night
Bel Air,MD,oval,39.5424170731708,-76.32874878048777,1200.0,2011,12,Night
Johnstown,PA,unknown,40.31809857142857,-78.90465428571412,,2011,12,Day
Johnstown,PA,light,40.31809857142857,-78.90465428571412,,2011,12,Night
Downingtown,PA,circle,40.03260000000019,-75.71899999999971,10.0,2011,12,Night
Saranac Lake,NY,sphere,44.35109999999998,-74.10339999999998,30.0,2011,12,Night
Boston,MA,fireball,42.34166295060047,-71.0656337116156,5.0,2011,12,Night
Boston,MA,fireball,42.34166295060047,-71.0656337116156,,2011,12,Night
Provincetown,MA,sphere,42.05109999999996,-70.19599999999996,300.0,2011,12,Night
Medford,NJ,oval,39.8741,-74.80900000000013,1800.0,2011,12,Night
Rochester,NY,fireball,43.15504152068439,-77.6178589638459,3.0,2011,12,Night
Carroll Valley,PA,rectangle,,,10.0,2011,12,Night
Yardville,NJ,oval,,,60.0,2011,12,Day
Auburn,ME,circle,44.09790000000007,-70.23120000000009,120.0,2011,12,Night
Leominster,MA,oval,42.52440000000004,-71.76569999999994,,2011,12,Night
Marathon,NY,fireball,42.4614,-76.07529999999998,3.5,2011,12,Night
Cooksville,MD,sphere,,,300.0,2011,12,Night
Water Town,NY,circle,,,600.0,2011,12,Day
Bucksport,ME,triangle,44.64440000000001,-68.74019999999999,,2009,12,Day
Bucksport,ME,triangle,44.64440000000001,-68.74019999999999,300.0,2009,12,Day
Lancaster,PA,sphere,40.03326710353886,-76.3030231979028,5.0,2010,12,Day
Downingtong,PA,other,,,300.0,2010,12,Night
Beacon,NY,diamond,41.48849999999998,-73.94340000000007,35.0,2011,12,Day
Freeport,NY,circle,40.64890000000005,-73.58250000000018,300.0,2012,12,Night
Bridgewater,MA,rectangle,41.971448571428525,-70.97669714285728,120.0,2012,12,Night
Columbia,PA,light,40.04749999999997,-76.48439999999995,180.0,2010,12,Night
Salisbury,VT,triangle,43.9144,-73.1137,1200.0,2012,12,Night
Hopkinton,NH,circle,,,300.0,2012,12,Night
Great Mills,MD,oval,38.2108,-76.48559999999999,600.0,2012,12,Day
Dayville,CT,fireball,41.85309999999999,-71.8601,120.0,2012,12,Day
Fredon,NJ,unknown,,,240.0,2012,12,Night
Sanbornton,NH,triangle,43.5317,-71.60699999999999,600.0,2012,12,Night
Westminster,MD,circle,39.59146094420588,-77.00426309012886,300.0,2012,12,Night
Troy,NH,disk,42.8296,-72.1855,600.0,2012,12,Day
Westminster,MD,triangle,39.59146094420588,-77.00426309012886,3600.0,2012,12,Night
Brewster,MA,flash,41.74669999999999,-70.0688,1500.0,2012,12,Night
Bear,DE,fireball,39.60249999999997,-75.69449999999978,240.0,2012,12,Night
Weehawken,NJ,other,40.76960000000005,-74.02040000000002,4.0,2012,12,Night
Bridgton,ME,light,44.03359999999999,-70.75700000000003,300.0,2012,12,Night
Deep River,CT,fireball,41.36800000000002,-72.45640000000002,120.0,2012,12,Night
Fairfield,CT,triangle,41.14802407407366,-73.26133018518559,,2012,12,Night
Waterbury,VT,circle,44.3107,-72.82470000000004,300.0,2012,12,Night
Greenfield,MA,light,42.63152183908043,-72.60242183908056,2700.0,2012,12,Night
Sparta,NJ,light,41.0544,-74.61710000000001,60.0,2012,12,Night
Norton,MA,unknown,41.96090000000003,-71.18040000000012,10.0,2009,12,Night
Chester Springs,PA,disk,40.10089999999997,-75.64100000000005,7200.0,2012,12,Day
Windsor,VT,formation,43.48829999999999,-72.4566,300.0,2012,12,Day
